Date,Day,Week,Time_Slot,Room_Number,Course_Section
"Nov 01, 2024",Friday,1,02:45 PM – 04:15 PM,1,DRV_SecB
"Nov 01, 2024",Friday,1,02:45 PM – 04:15 PM,2,PBM_SecA
"Nov 01, 2024",Friday,1,04:30 PM – 06:00 PM,1,IMC_SecA
"Nov 01, 2024",Friday,1,04:30 PM – 06:00 PM,2,IMKT_SecB
"Nov 01, 2024",Friday,1,06:15 PM – 07:45 PM,1,DRV_SecB
"Nov 01, 2024",Friday,1,06:15 PM – 07:45 PM,2,DSMM_SecA
"Nov 01, 2024",Friday,1,06:15 PM – 07:45 PM,3,EMPP_SecA
"Nov 01, 2024",Friday,1,09:00 AM – 10:30 AM,1,IMKT_SecA
"Nov 01, 2024",Friday,1,09:00 AM – 10:30 AM,2,PM_SecA
"Nov 01, 2024",Friday,1,10:45 AM – 12:15 PM,1,DT_SecB
"Nov 01, 2024",Friday,1,10:45 AM – 12:15 PM,2,EMPP_SecA
"Nov 01, 2024",Friday,1,10:45 AM – 12:15 PM,3,SCM_SecA
"Nov 01, 2024",Friday,1,12:30 PM – 02:00 PM,1,SCM_SecA
"Nov 01, 2024",Friday,1,12:30 PM – 02:00 PM,2,SDM_SecB
"Nov 02, 2024",Saturday,1,02:45 PM – 04:15 PM,1,DT_SecA
"Nov 02, 2024",Saturday,1,02:45 PM – 04:15 PM,2,FIS_SecB
"Nov 02, 2024",Saturday,1,04:30 PM – 06:00 PM,1,CB_SecB
"Nov 02, 2024",Saturday,1,04:30 PM – 06:00 PM,2,DMPA_SecB
"Nov 02, 2024",Saturday,1,04:30 PM – 06:00 PM,3,REE
"Nov 02, 2024",Saturday,1,06:15 PM – 07:45 PM,1,IMC_SecA
"Nov 02, 2024",Saturday,1,06:15 PM – 07:45 PM,2,NCM
"Nov 02, 2024",Saturday,1,06:15 PM – 07:45 PM,3,SDM_SecB
"Nov 02, 2024",Saturday,1,09:00 AM – 10:30 AM,1,IM_SecB
"Nov 02, 2024",Saturday,1,09:00 AM – 10:30 AM,2,PBM_SecA
"Nov 02, 2024",Saturday,1,10:45 AM – 12:15 PM,1,BV
"Nov 02, 2024",Saturday,1,10:45 AM – 12:15 PM,2,ODC_SecB
"Nov 02, 2024",Saturday,1,10:45 AM – 12:15 PM,3,PRI_SecA
"Nov 02, 2024",Saturday,1,12:30 PM – 02:00 PM,1,DMPA_SecA
"Nov 02, 2024",Saturday,1,12:30 PM – 02:00 PM,2,DTI_SecA
