Date,Day,Week,Time_Slot,Room_Number,Course_Section
01-Dec-2024,Sunday,5,02:15 PM – 03:45 PM,R01,IMKT_SecA
01-Dec-2024,Sunday,5,02:15 PM – 03:45 PM,R02,IMKT_SecB
01-Dec-2024,Sunday,5,02:15 PM – 03:45 PM,R03,ODC_SecB
01-Dec-2024,Sunday,5,02:15 PM – 03:45 PM,R04,PM_SecA
01-Dec-2024,Sunday,5,04:00 PM – 05:30 PM,R01,BMS
01-Dec-2024,Sunday,5,04:00 PM – 05:30 PM,R02,CB_SecC
01-Dec-2024,Sunday,5,06:15 PM – 07:45 PM,R01,PBM_SecC
01-Dec-2024,Sunday,5,06:15 PM – 07:45 PM,R02,SDM_SecA
01-Dec-2024,Sunday,5,06:15 PM – 07:45 PM,R03,SDM_SecB
01-Dec-2024,Sunday,5,09:00 AM – 10:30 AM,R01,DMPA_SecB
01-Dec-2024,Sunday,5,09:00 AM – 10:30 AM,R02,GMRM
01-Dec-2024,Sunday,5,09:00 AM – 10:30 AM,R03,SDM_SecB
01-Dec-2024,Sunday,5,10:45 AM – 12:15 PM,R01,DSMM_SecA
01-Dec-2024,Sunday,5,10:45 AM – 12:15 PM,R02,DTI_SecB
01-Dec-2024,Sunday,5,10:45 AM – 12:15 PM,R03,IMC_SecC
01-Dec-2024,Sunday,5,12:30 PM – 02:00 PM,R01,CS_SecA
01-Dec-2024,Sunday,5,12:30 PM – 02:00 PM,R02,CS_SecB
01-Dec-2024,Sunday,5,12:30 PM – 02:00 PM,R03,EMPP_SecA
01-Jan-2025,Wednesday,9,02:15 PM – 03:45 PM,R01,DRV_SecA
01-Jan-2025,Wednesday,9,02:15 PM – 03:45 PM,R02,DRV_SecB
01-Jan-2025,Wednesday,9,02:15 PM – 03:45 PM,R03,IMC_SecA
01-Jan-2025,Wednesday,9,02:15 PM – 03:45 PM,R04,PBM_SecB
01-Jan-2025,Wednesday,9,04:00 PM – 05:30 PM,R01,DSMM_SecC
01-Jan-2025,Wednesday,9,04:00 PM – 05:30 PM,R02,DWDV
01-Jan-2025,Wednesday,9,04:00 PM – 05:30 PM,R03,FIS_SecC
01-Jan-2025,Wednesday,9,06:15 PM – 07:45 PM,R01,CB_SecC
01-Jan-2025,Wednesday,9,06:15 PM – 07:45 PM,R02,DMPA_SecB
01-Jan-2025,Wednesday,9,06:15 PM – 07:45 PM,R03,DSMM_SecC
01-Jan-2025,Wednesday,9,09:00 AM – 10:30 AM,R01,CB_SecA
01-Jan-2025,Wednesday,9,09:00 AM – 10:30 AM,R02,CB_SecB
01-Jan-2025,Wednesday,9,09:00 AM – 10:30 AM,R03,CB_SecC
01-Jan-2025,Wednesday,9,09:00 AM – 10:30 AM,R04,DMPA_SecB
01-Jan-2025,Wednesday,9,10:45 AM – 12:15 PM,R01,CS_SecA
01-Jan-2025,Wednesday,9,10:45 AM – 12:15 PM,R02,CS_SecB
01-Jan-2025,Wednesday,9,10:45 AM – 12:15 PM,R03,EMPP_SecA
01-Jan-2025,Wednesday,9,12:30 PM – 02:00 PM,R01,BMS
01-Jan-2025,Wednesday,9,12:30 PM – 02:00 PM,R02,PM_SecA
01-Nov-2024,Friday,1,02:15 PM – 03:45 PM,R01,DSMM_SecA
01-Nov-2024,Friday,1,02:15 PM – 03:45 PM,R02,DSMM_SecB
01-Nov-2024,Friday,1,02:15 PM – 03:45 PM,R03,DSMM_SecC
