,BMS,BV,CB_SecA,CB_SecB,CCS_SecA,CCS_SecB,CRM_SecA,CRM_SecB,CS_SecA,CS_SecB,DMPA_SecA,DMPA_SecB,DRV_SecA,DRV_SecB,DSMM_SecA,DSMM_SecB,DTI_SecA,DTI_SecB,DT_SecA,DT_SecB,DWDV,EMPP_SecA,EMPP_SecB,FIS_SecA,FIS_SecB,GMRM,IMC_SecA,IMC_SecB,IMKT_SecA,IMKT_SecB,IM_SecA,IM_SecB,NCM,ODC_SecA,ODC_SecB,PBM_SecA,PBM_SecB,PM_SecA,PM_SecB,PRI_SecA,PRI_SecB,REE,SCM_SecA,SCM_SecB,SDM_SecA,SDM_SecB,SMTI
BMS,48,3,9,4,6,7,21,5,2,6,2,5,7,0,5,15,8,2,10,1,2,10,0,5,3,1,9,6,14,4,6,0,1,2,0,3,5,0,5,11,6,2,8,0,8,3,8
BV,3,53,0,6,5,4,0,11,9,6,0,13,12,20,9,0,4,0,0,6,2,3,0,11,30,1,0,6,0,11,9999,9999,0,2,0,0,16,4,1,0,10,1,0,7,0,7,5
CB_SecA,9,0,56,9999,5,0,16,4,5,3,14,0,0,0,17,13,7,9,15,3,11,5,0,0,0,0,15,4,20,4,0,0,2,0,0,12,0,2,6,23,2,2,9,0,14,7,22
CB_SecB,4,6,9999,55,24,4,3,17,10,10,0,0,10,4,6,2,11,3,2,3,7,4,0,10,11,0,3,12,11,2,10,7,0,4,0,9,12,3,5,4,5,0,9,1,9,15,3
CCS_SecA,6,5,5,24,55,9999,10,14,9,7,1,0,9,0,7,16,9999,9999,4,0,0,0,0,3,10,0,7,9,20,6,9,5,0,0,0,12,6,2,3,10,2,0,10,0,12,12,6
CCS_SecB,7,4,0,4,9999,58,11,3,2,9,5,5,2,1,5,9,9999,9999,7,7,9,8,20,0,6,20,8,7,2,2,0,6,21,16,6,8,0,0,9,3,6,23,5,0,11,0,5
CRM_SecA,21,0,16,3,10,11,65,9999,0,0,8,0,0,0,2,27,4,16,19,0,3,19,0,0,0,2,22,3,20,3,0,0,3,5,0,8,0,2,10,22,6,5,13,3,25,2,12
CRM_SecB,5,11,4,17,14,3,9999,68,16,10,7,5,8,2,12,14,8,8,9,3,12,3,0,8,13,0,12,12,13,6,8,16,0,0,0,16,9,4,4,3,3,0,4,5,9,15,9
CS_SecA,2,9,5,10,9,2,0,16,64,9999,2,5,8,11,10,11,13,4,6,4,3,0,0,11,18,0,3,17,3,12,24,11,0,0,0,13,19,6,4,0,3,0,0,9,5,27,5
CS_SecB,6,6,3,10,7,9,0,10,9999,65,8,8,3,0,3,7,5,2,5,14,14,6,22,2,5,22,6,8,5,6,0,5,24,1,22,3,4,7,5,2,9,23,2,7,2,4,3
DMPA_SecA,2,0,14,0,1,5,8,7,2,8,45,9999,0,0,15,3,0,0,14,17,22,3,0,0,0,0,12,3,2,14,0,0,0,0,0,10,7,12,6,6,4,1,4,7,3,9,4
DMPA_SecB,5,13,0,0,0,5,0,5,5,8,9999,48,4,9,6,0,12,0,3,25,19,0,0,23,4,0,1,0,0,18,6,17,2,0,0,0,19,5,8,1,6,0,0,6,0,3,2
DRV_SecA,7,12,0,10,9,2,0,8,8,3,0,4,37,9999,11,0,8,0,0,2,0,1,0,4,25,0,0,3,1,5,21,7,0,2,0,0,13,0,0,0,3,0,0,0,0,15,1
