Section_Label,Course,Section,StudentID
BMS,BMS,Full,BA009-24
BMS,BMS,Full,BA032-24
BMS,BMS,Full,BA044-24
BMS,BMS,Full,H030-24
BMS,BMS,Full,IPM002-21
BMS,BMS,Full,IPM020-21
BMS,BMS,Full,IPM022-21
BMS,BMS,Full,IPM029-21
BMS,BMS,Full,IPM034-21
BMS,BMS,Full,IPM037-21
BMS,BMS,Full,IPM051-21
BMS,BMS,Full,IPM059-21
BMS,BMS,Full,IPM062-21
BMS,BMS,Full,IPM093-21
BMS,BMS,Full,IPM099-21
BMS,BMS,Full,M010-24
BMS,BMS,Full,M013-24
BMS,BMS,Full,M019-24
BMS,BMS,Full,M023-24
BMS,BMS,Full,M026-24
BMS,BMS,Full,M033-24
BMS,BMS,Full,M040-24
BMS,BMS,Full,M049-24
BMS,BMS,Full,M055-24
BMS,BMS,Full,M060-24
BMS,BMS,Full,M069-24
BMS,BMS,Full,M076-24
BMS,BMS,Full,M082-24
BMS,BMS,Full,M091-24
BMS,BMS,Full,M096-24
BMS,BMS,Full,M101-24
BMS,BMS,Full,M118-24
BMS,BMS,Full,M121-24
BMS,BMS,Full,M125-23
BMS,BMS,Full,M126-24
BMS,BMS,Full,M136-24
BMS,BMS,Full,M137-24
BMS,BMS,Full,M145-24
BMS,BMS,Full,M154-24
BMS,BMS,Full,M159-24
BMS,BMS,Full,M161-24
BMS,BMS,Full,M172-24
BMS,BMS,Full,M192-24
BMS,BMS,Full,M200-23
BMS,BMS,Full,M226-24
BMS,BMS,Full,M238-24
BMS,BMS,Full,M249-24
BMS,BMS,Full,M253-24
BV,BV,Full,IPM013-21
BV,BV,Full,IPM017-21
BV,BV,Full,IPM018-21
BV,BV,Full,IPM021-21
BV,BV,Full,IPM032-21
BV,BV,Full,IPM043-21
BV,BV,Full,IPM048-21
BV,BV,Full,IPM053-21
BV,BV,Full,IPM054-21
BV,BV,Full,IPM058-21
BV,BV,Full,IPM062-21
BV,BV,Full,IPM072-21
BV,BV,Full,IPM073-21
BV,BV,Full,IPM076-21
BV,BV,Full,IPM077-21
BV,BV,Full,IPM085-21
BV,BV,Full,IPM087-21
BV,BV,Full,IPM093-21
BV,BV,Full,IPM105-21
BV,BV,Full,IPM112-21
BV,BV,Full,IPM115-21
BV,BV,Full,IPM116-21
BV,BV,Full,M007-24
BV,BV,Full,M018-24
BV,BV,Full,M030-24
BV,BV,Full,M032-24
BV,BV,Full,M037-24
BV,BV,Full,M039-24
